mode,run_id,cycles,energy,temp,wall_clock_s
uncompiled,1,50006,0.010700239999996244,25.00005999895227,0.5222611880017212
uncompiled,2,50006,0.010700239999996244,25.00005999895227,0.45273517399982666
uncompiled,3,50006,0.010700239999996244,25.00005999895227,0.6898869870019553
uncompiled,4,50006,0.010700239999996244,25.00005999895227,0.2857629550017009
uncompiled,5,50006,0.010700239999996244,25.00005999895227,0.28308544600076857
compiled,1,50006,0.010700239999996244,25.00005999895227,0.28483391199915786
compiled,2,50006,0.010700239999996244,25.00005999895227,0.26647926200166694
compiled,3,50006,0.010700239999996244,25.00005999895227,0.2454663630014693
compiled,4,50006,0.010700239999996244,25.00005999895227,0.26899146900177584
compiled,5,50006,0.010700239999996244,25.00005999895227,0.33099174100061646
