mode,run_id,cycles,energy,temp,wall_clock_s
uncompiled,1,60006,0.010700239999993276,25.000094997788327,0.21575706099974923
uncompiled,2,60006,0.010700239999993276,25.000094997788327,0.2127293080011441
uncompiled,3,60006,0.010700239999993276,25.000094997788327,0.23619087699989905
uncompiled,4,60006,0.010700239999993276,25.000094997788327,0.21962025900029403
uncompiled,5,60006,0.010700239999993276,25.000094997788327,0.21461504100079765
compiled,1,50006,0.010700239999996244,25.00005999895227,0.17764812399946095
compiled,2,50006,0.010700239999996244,25.00005999895227,0.2212757050001528
compiled,3,50006,0.010700239999996244,25.00005999895227,0.1997003299984499
compiled,4,50006,0.010700239999996244,25.00005999895227,0.17743065200011188
compiled,5,50006,0.010700239999996244,25.00005999895227,0.1926481110003806
