mode,run_id,cycles,energy,temp,wall_clock_s
uncompiled,1,60006,0.010700239999993276,25.000094997788327,0.2058828210010688
uncompiled,2,60006,0.010700239999993276,25.000094997788327,0.2007419099991239
uncompiled,3,60006,0.010700239999993276,25.000094997788327,0.21588083499955246
uncompiled,4,60006,0.010700239999993276,25.000094997788327,0.24385937899933197
uncompiled,5,60006,0.010700239999993276,25.000094997788327,0.2020689080000011
compiled,1,50006,0.010700239999996244,25.00005999895227,0.20456633399953716
compiled,2,50006,0.010700239999996244,25.00005999895227,0.19316085500031477
compiled,3,50006,0.010700239999996244,25.00005999895227,0.1903248460002942
compiled,4,50006,0.010700239999996244,25.00005999895227,0.19368283199946745
compiled,5,50006,0.010700239999996244,25.00005999895227,0.19066157000088424
